009  00466 |Loss: 0.697 | Acc: 68.125% 
009  00467 |Loss: 0.688 | Acc: 69.318% 
009  00468 |Loss: 0.693 | Acc: 67.188% 
009  00469 |Loss: 0.694 | Acc: 67.308% 
009  00470 |Loss: 0.701 | Acc: 66.964% 
009  00471 |Loss: 0.691 | Acc: 66.250% 
009  00472 |Loss: 0.691 | Acc: 66.797% 
009  00473 |Loss: 0.680 | Acc: 67.279% 
009  00474 |Loss: 0.679 | Acc: 67.361% 
009  00475 |Loss: 0.665 | Acc: 67.763% 
009  00476 |Loss: 0.663 | Acc: 67.500% 
009  00477 |Loss: 0.667 | Acc: 67.560% 
009  00478 |Loss: 0.661 | Acc: 68.466% 
009  00479 |Loss: 0.658 | Acc: 69.293% 
009  00480 |Loss: 0.662 | Acc: 69.010% 
009  00481 |Loss: 0.654 | Acc: 69.250% 
009  00482 |Loss: 0.659 | Acc: 68.510% 
009  00483 |Loss: 0.661 | Acc: 68.519% 
009  00484 |Loss: 0.669 | Acc: 68.080% 
009  00485 |Loss: 0.669 | Acc: 68.319% 
009  00486 |Loss: 0.663 | Acc: 68.958% 
009  00487 |Loss: 0.657 | Acc: 69.758% 
009  00488 |Loss: 0.653 | Acc: 70.117% 
009  00489 |Loss: 0.652 | Acc: 70.265% 
009  00490 |Loss: 0.660 | Acc: 69.853% 
009  00491 |Loss: 0.658 | Acc: 70.000% 
009  00492 |Loss: 0.655 | Acc: 69.965% 
009  00493 |Loss: 0.653 | Acc: 69.595% 
009  00494 |Loss: 0.652 | Acc: 69.572% 
009  00495 |Loss: 0.648 | Acc: 69.872% 
009  00496 |Loss: 0.643 | Acc: 70.312% 
009  00497 |Loss: 0.646 | Acc: 70.122% 
009  00498 |Loss: 0.646 | Acc: 70.238% 
009  00499 |Loss: 0.640 | Acc: 70.640% 
009  00500 |Loss: 0.639 | Acc: 70.739% 
009  00501 |Loss: 0.639 | Acc: 70.972% 
009  00502 |Loss: 0.638 | Acc: 70.924% 
009  00503 |Loss: 0.636 | Acc: 71.144% 
009  00504 |Loss: 0.632 | Acc: 71.224% 
009  00505 |Loss: 0.635 | Acc: 71.173% 
009  00506 |Loss: 0.636 | Acc: 71.125% 
009  00507 |Loss: 0.635 | Acc: 70.956% 
009  00508 |Loss: 0.630 | Acc: 71.274% 
009  00509 |Loss: 0.628 | Acc: 71.226% 
009  00510 |Loss: 0.629 | Acc: 70.949% 
009  00511 |Loss: 0.629 | Acc: 70.682% 
009  00512 |Loss: 0.628 | Acc: 70.536% 
009  00513 |Loss: 0.630 | Acc: 70.556% 
010  00514 |Loss: 0.465 | Acc: 75.000% 
010  00515 |Loss: 0.502 | Acc: 71.875% 
010  00516 |Loss: 0.505 | Acc: 75.000% 
010  00517 |Loss: 0.549 | Acc: 73.438% 
010  00518 |Loss: 0.546 | Acc: 73.750% 
